id	primary_name	total.dois	Unique-dois-in-wikipedia	%Unique-dois-in-wikipedia
4175	Journal of Graph Algorithms and Applications	442	32	7.23981900452489
353	Sigma Xi	2293	166	7.2394243349324
3056	Historians of Netherlandish Art	125	9	7.2
1161	Ornithological Society of Japan	405	29	7.16049382716049
2593	Japan Society for Lactic Acid Bacteria	182	13	7.14285714285714
7217	Mobilization Journal	70	5	7.14285714285714
2991	Biologic Institute	28	2	7.14285714285714
12166	Uluslararasi Ticaret ve Ekonomi Arastirmalari Dergisi	14	1	7.14285714285714
1240	New York Entomological Society	332	23	6.92771084337349
1592	Society of Ethnobiology	334	23	6.88622754491018
237	The Company of Biologists	28519	1953	6.84806620147972
1224	Coleopterists Society	1600	109	6.8125
1225	Cooper Ornithological Society	2009	136	6.76953708312593
848	Zoological Society of Japan	3200	216	6.75
7326	Geological Society of Norway	60	4	6.66666666666667
8858	Suomalaisen Kirjallisuuden Seura	60	4	6.66666666666667
1255	Southwestern Association of Naturalists	1298	86	6.62557781201849
393	Society for Neuroscience	21962	1416	6.44750022766597
4989	International Association for Plant Taxonomy	1243	80	6.43604183427192
3788	Hypothesis Journal	141	9	6.38297872340426
1914	The Raptor Research Foundation, Inc.	740	47	6.35135135135135
2208	American Astronomical Society	9848	622	6.31600324939074
2148	Comparative Cognition Society	95	6	6.31578947368421
6731	Folia Entomologica Hungarica	16	1	6.25
7779	University of Tennessee, Knoxville	16	1	6.25
2849	Korean Neuropsychiatric Association (KAMJE)	273	17	6.22710622710623
1220	American Society of Parasitologists	4189	260	6.20673191692528
234	American Society of Hematology	27836	1715	6.16108636298319
7742	University of Puerto Rico at Mayaguez	228	14	6.14035087719298
3443	National League for Nursing	33	2	6.06060606060606
1453	Chelonian Conservation and Biology Journal	535	32	5.98130841121495
1249	University of Notre Dame	1550	92	5.93548387096774
291	Rockefeller University Press	58518	3456	5.90587511534912
6972	Academy of Medical and Health Research	17	1	5.88235294117647
7105	Paul Mellon Centre for Studies in British Art	120	7	5.83333333333333
3726	Finnish Zoological and Botanical Publishing Board	1053	61	5.79297245963913
1647	New England Botanical Club	470	27	5.74468085106383
1228	Florida Entomological Society	2455	141	5.74338085539715
6221	National Institute for Health Research	1342	77	5.73770491803279
221	American Association for the Advancement of Science (AAAS)	281561	16142	5.73303831141387
1015	Morgan & Claypool Publishers LLC	1054	59	5.5977229601518
260	The Haworth Press	14180	791	5.57827926657264
1864	Royal Swedish Academy of Sciences	1041	58	5.57156580211335
1743	Torrey Botanical Society	647	36	5.56414219474498
3650	Japanese Society of Zoo and Wildlife Medicine	72	4	5.55555555555556
414	Genetics Society of America	8061	447	5.54521771492371
4876	Wildlife Information Liaison Development Society	2740	151	5.51094890510949
232	American Society for Clinical Investigation	33240	1831	5.50842358604092
4374	eLife Sciences Organisation, Ltd.	5195	286	5.50529355149182
3072	Botanical Garden Meise	346	19	5.49132947976879
4795	The Higher Education Academy	164	9	5.48780487804878
430	American Society for Photobiology	914	50	5.47045951859956
4514	Royal Botanical Gardens and Domain Trust	732	40	5.46448087431694
1305	WHO Press	2609	141	5.40436949022614
1073	Pontificia Universidad Catolica de Valparaiso	1244	67	5.38585209003216
2396	Entomological Society of Southern Africa	613	33	5.38336052202284
1564	Wildlife Biology	632	34	5.37974683544304
235	American Society for Microbiology	171095	9172	5.36076448756539
5654	Instituto de Botanica Darwinion (IBODA)	56	3	5.35714285714286
3459	International Journal of Wellbeing	152	8	5.26315789473684
5509	Japanese Society of Anxiety Disorders	57	3	5.26315789473684
3616	Insciences Organization	19	1	5.26315789473684
4149	Geography Department, University of Sao Paulo	19	1	5.26315789473684
9367	International Journal of Professional Business Review	19	1	5.26315789473684
11953	Scuola Normale Superiore - Edizioni della Normale	19	1	5.26315789473684
246	Cold Spring Harbor Laboratory	59135	3094	5.2320960514078
340	Public Library of Science (PLoS)	235882	12321	5.22337439906394
1843	Specjalisci Dermatolodzy	251	13	5.1792828685259
440	Royal College of Obstetricians & Gynaecologists (RCOG)	78	4	5.12820512820513
2992	Terrapub	236	12	5.08474576271187
5523	Society for the Preservation of Natural History Collections (SPNHC)	59	3	5.08474576271187
1741	American Entomological Society	1027	52	5.06329113924051
