id	primary_name	total.dois	Unique-dois-in-wikipedia	%Unique-dois-in-wikipedia 	prefixes
1721	Men's Studies Press, LLC	913	30	3.28587075575027	10.3149
6179	Society of Conservatoire at Jardin Botaniques de la Ville de Geneve	335	11	3.28358208955224	10.15553
102	Health Affairs (Project Hope)	9209	302	3.27940058638289	10.1377
2886	The Korean Society of Mycology	550	18	3.27272727272727	10.4489
2903	Royal College of Physicians of Edinburgh	556	18	3.23741007194245	10.4997
4927	Bogucki Wydawnictwo Naukowe	835	27	3.23353293413174	10.12657
9900	Zeitschrift fur Praktische Philosophie	93	3	3.2258064516129	10.22613
150	New England Journal of Medicine (NEJM/MMS)	181577	5842	3.21736783843769	10.1056
887	Informa UK (Informa Life Sciences)	2209	71	3.21412403802626	10.2144
1054	International Phycological Society	3680	118	3.20652173913043	10.2216
3281	The William and Mary Quarterly	500	16	3.2	10.5309
1881	Geological Society of London	30997	985	3.17772687679453	10.1144
1900	Korean Society for Parasitology	2204	70	3.17604355716878	10.3347
3174	Massachusetts Historical Society	63	2	3.17460317460317	10.5224
1943	Walsh Medical Media, LLC	347	11	3.1700288184438	10.3371
6778	Bombay Natural History Society	190	6	3.15789473684211	10.17087
9096	Saint Petersburg State University	349	11	3.15186246418338	10.21638, 10.18688
1566	National Shellfisheries Association	1461	46	3.14852840520192	10.2983
825	Society for Biomedical Diabetes Research (SBDR)	318	10	3.14465408805031	10.1900
4495	NMFS Publications Office	320	10	3.125	10.7755
1288	Sociedade Portuguesa de Vida Selvagem (SPVS)	160	5	3.125	10.2461
4929	Mycobiota	32	1	3.125	10.12664
1154	Japanese Society of Allergology	801	25	3.1210986267166	10.2332
1965	Frontiers Media SA	97909	3025	3.08960361151682	10.3389, 10.4175
2556	Theory of Computing Exchange	357	11	3.0812324929972	10.4086
14	American Mathematical Society (AMS)	124136	3791	3.05390861635625	10.1090
6157	Schleuen Verlag	492	15	3.04878048780488	10.15542
2642	Croatian Geological Survey	230	7	3.04347826086957	10.4154
3589	Korean Academy of Oral and Maxillofacial Radiology (KAMJE)	263	8	3.04182509505703	10.5624
790	Seismological Society of America (SSA)	7416	225	3.03398058252427	10.1785
1334	English Literature in Transition (Project Muse)	132	4	3.03030303030303	10.2487
5042	Geological Association of Canada	132	4	3.03030303030303	10.12789
11953	Scuola Normale Superiore - Edizioni della Normale	33	1	3.03030303030303	10.2422
1554	Research Institute for Mathematical Sciences, Kyoto University	463	14	3.02375809935205	10.2977
108	Institute of Mathematical Statistics	24945	751	3.01062337141712	10.1214
67	CSIRO Publishing	84347	2539	3.01018412035994	10.1071
5262	Arachology	201	6	2.98507462686567	10.13156
2113	The Plankton Society of Japan/The Japanese Association of Benthology	302	9	2.98013245033113	10.3800
13	American Geophysical Union (AGU)	191099	5683	2.97385124987572	10.1029
377	Guilford Publications	11904	354	2.97379032258065	10.1521
5281	Journal of Pattern Recognition Research	101	3	2.97029702970297	10.13176
2723	Paleoanthropology Society	135	4	2.96296296296296	10.4207
2602	Japan Association for Quaternary Research	1757	52	2.95959021058623	10.4116
269	Japan Society for Bioscience, Biotechnology, and Agrochemistry	19691	581	2.95058656238891	10.1271
