langfile:page_id	page_title	rev_id	timestamp	type	id
enwiki.tsv:3548920	Opisthocoelicaudia	567930481	2013-08-10T10:31:09Z	doi	10.7717/peerj.36
enwiki.tsv:2519459	Brachiosauridae	778343076	2017-05-02T15:07:46Z	doi	10.7717/peerj.3217
enwiki.tsv:3025674	Coelurus	715689348	2016-04-17T11:34:35Z	doi	10.7717/peerj.1032
enwiki.tsv:3303582	Jinfengopteryx	778382198	2017-05-02T19:49:55Z	doi	10.7717/peerj.1032
enwiki.tsv:4147723	Scleromochlus	726868612	2016-06-24T23:54:41Z	doi	10.7717/peerj.1018
enwiki.tsv:3304775	Minmi paravertebra	694293607	2015-12-08T09:21:27Z	doi	10.7717/peerj.1475
enwiki.tsv:3705573	Gorgonopsia	776337300	2017-04-20T11:30:18Z	doi	10.7717/peerj.3119
enwiki.tsv:4029210	Diplodocoidea	659575628	2015-04-27T22:57:05Z	doi	10.7717/peerj.857
enwiki.tsv:4085430	Dinosaur size	654906848	2015-04-04T12:55:37Z	doi	10.7287/peerj.preprints.838v1
enwiki.tsv:2526753	Saddleback toad	665501065	2015-06-04T17:56:46Z	doi	10.7717/peerj.1011
enwiki.tsv:4036022	Nyctibatrachus	767198525	2017-02-24T13:52:54Z	doi	10.7717/peerj.3007
enwiki.tsv:3179210	Animal-made art	620873118	2014-08-12T05:43:57Z	doi	10.7717/peerj.471
enwiki.tsv:2459226	Gregarinasina	802393919	2017-09-25T22:06:28Z	doi	10.7717/peerj.3354
enwiki.tsv:2856239	Chelodina	575432425	2013-10-02T12:58:30Z	doi	10.7717/peerj.170
enwiki.tsv:2359857	Dunkleosteus	814233710	2017-12-07T16:17:32Z	doi	10.7717/peerj.4081
enwiki.tsv:2817885	Nanotyrannus	653000570	2015-03-22T11:44:43Z	doi	10.7287/peerj.preprints.852v1
enwiki.tsv:4098254	Dicraeosauridae	724065459	2016-06-06T22:52:19Z	doi	10.7717/peerj.857
enwiki.tsv:4290288	Bothriospondylus	778349801	2017-05-02T15:57:37Z	doi	10.7717/peerj.3217
enwiki.tsv:2906082	Atlascopcosaurus	797516276	2017-08-27T14:58:11Z	doi	10.7717/peerj.1523
enwiki.tsv:3875705	Duplicate code	708049112	2016-03-03T08:56:25Z	doi	10.7717/peerj-cs.49
enwiki.tsv:2667794	Ambrosia artemisiifolia	771751897	2017-03-23T09:15:03Z	doi	10.7717/peerj.3104
enwiki.tsv:4357545	Futabasaurus	802566564	2017-09-27T00:36:46Z	doi	10.7717/peerj.1777
enwiki.tsv:4863875	Sigilmassasaurus	687526282	2015-10-26T03:27:30Z	doi	10.7717/peerj.1323
enwiki.tsv:3757010	Azhdarchidae	760892383	2017-01-19T18:00:05Z	doi	10.7717/peerj.2908
enwiki.tsv:2768798	Cleveland-Lloyd Dinosaur Quarry	806823416	2017-10-24T11:10:20Z	doi	10.7717/peerj.3368
enwiki.tsv:4421588	Scarabaeinae	791707048	2017-07-22T00:07:38Z	doi	10.7717/peerj.1988
enwiki.tsv:4298093	Sanpasaurus	745358816	2016-10-20T17:28:32Z	doi	10.7717/peerj.2578
enwiki.tsv:3763482	Brain size	689651724	2015-11-08T16:09:22Z	doi	10.7717/peerj.1000
enwiki.tsv:5510696	Nimravus	704107515	2016-02-09T16:12:07Z	doi	10.7717/peerj.1658
enwiki.tsv:5510758	Pogonodon	704105321	2016-02-09T15:55:06Z	doi	10.7717/peerj.1658
enwiki.tsv:5579717	Bird anatomy	811270931	2017-11-20T15:45:55Z	doi	10.7717/peerj.1765
enwiki.tsv:5157216	Tetrapulmonata	667038428	2015-06-15T12:26:16Z	doi	10.7717/peerj.641
enwiki.tsv:5293327	Dinictis	753011835	2016-12-04T18:11:55Z	doi	10.7717/peerj.1658
enwiki.tsv:6047087	Haplogynae	699021946	2016-01-09T19:41:30Z	doi	10.7287/peerj.preprints.1482v1
enwiki.tsv:4675417	Chasmatosuchus	717596403	2016-04-28T16:57:16Z	doi	10.7717/peerj.1778
enwiki.tsv:4612067	Crestfish	824613792	2018-02-08T12:37:40Z	doi	10.7717/peerj.3381
enwiki.tsv:5852792	Calyptosuchus	823718627	2018-02-02T23:48:45Z	doi	10.7717/peerj.4291
enwiki.tsv:5855375	Mesacanthus	688945053	2015-11-04T00:21:12Z	doi	10.7717/peerj.1331
enwiki.tsv:4312687	Brachytrachelopan	806593348	2017-10-23T00:34:00Z	doi	10.7717/peerj.857
enwiki.tsv:5381180	Elasmosauridae	819719481	2018-01-10T22:34:12Z	doi	10.7717/peerj.1777
enwiki.tsv:5999276	Dionycha	767177795	2017-02-24T10:57:31Z	doi	10.7287/peerj.preprints.1482v1
enwiki.tsv:6627913	Automimicry	810407349	2017-11-15T01:52:02Z	doi	10.7717/peerj.3493
enwiki.tsv:5386671	Structure from motion	802879692	2017-09-29T01:17:11Z	doi	10.7287/peerj.preprints.1444v1
enwiki.tsv:5317859	Susan R. Wessler	782425382	2017-05-26T20:34:52Z	doi	10.7717/peerj.2942
enwiki.tsv:6214456	Evolution of spiders	706723187	2016-02-24T22:52:23Z	doi	10.7717/peerj.1719
enwiki.tsv:4321490	Fish trap	767876116	2017-02-28T13:22:17Z	doi	10.7717/peerj.2953
